AC_REG,DATE,ENG1_OIL,ENG2_OIL,APU_OIL,IDG1_OIL,IDG2_OIL,G_HYD,B_HYD,Y_HYD
PK-PWA,2022-04-24,1,1,NaN,NaN,NaN,NaN,NaN,NaN
PK-PWC,2022-04-09,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN
PK-PWC,2022-04-10,1,1,NaN,NaN,NaN,NaN,NaN,NaN
PK-PWC,2022-04-24,3,3,NaN,NaN,NaN,NaN,NaN,NaN
PK-PWC,2022-05-06,1,1,NaN,NaN,NaN,NaN,NaN,NaN
PK-PWC,2022-05-09,1,1,NaN,NaN,NaN,NaN,NaN,NaN
PK-PWC,2022-05-11,1,1,NaN,NaN,NaN,NaN,NaN,NaN
PK-PWC,2022-05-13,2,1,NaN,NaN,NaN,NaN,NaN,NaN
PK-PWC,2022-05-15,2,1,NaN,NaN,NaN,NaN,NaN,NaN
PK-PWC,2022-05-18,3,3,NaN,NaN,NaN,NaN,NaN,NaN
PK-PWC,2022-05-20,1,1,NaN,NaN,NaN,NaN,NaN,NaN
PK-PWC,2022-05-20,NaN,NaN,NaN,1,1,NaN,NaN,NaN
PK-PWC,2022-05-27,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN
PK-PWC,2022-05-29,2,1,NaN,NaN,NaN,NaN,NaN,NaN
